Number,volume,mass,Firmness,TST,TA,Zs,θ,L1,A1,B1,L2,A2,B2
72,117.5351215505,158.66,0.5625,11,0.5092,1.0951,-39.226,2120,536,755,5798,1557,4037
73,129.894448213922,157.08,2.3325,10.7,0.938,1.2026,-41.06,3199,1415,1285,5598,1523,3460
74,125.738596021406,157.32,1.57,10.9,0.92996,1.0631,-40.01,2326,352,126,4707,1803,3209
75,133.745322095173,149.62,0.605,12.2,0.7906,0.9134,-34.818,2138,423,172,5449,1381,4149
76,123.042784234453,144.98,2.335,11.2,0.9045,1.1155,-38.207,3401,1708,1714,6788,126,4525
77,105.41825912232,153.68,1.475,11.1,0.7772,0.9588,-36.236,2336,527,49,3708,1777,2393
78,121.880229917552,150.52,0.8775,9.8,0.72762,0.9978,-37.62,2602,496,503,4115,1912,2330
79,121.37577578496,154.84,0.72,11.2,0.75844,0.929,-35.46,2275,863,-541,4801,1622,2927
80,116.14840447148,156.4,0.65,11.9,0.74906,0.8927,-34.103,2608,318,220,5630,1348,3836
81,120.66597772992,150.29,0.825,10.7,0.66062,0.9971,-36.496,2372,483,646,5875,1105,4165
82,121.227672275983,157.23,0.905,11.1,0.8308,0.9393,-36.515,2271,514,-73,5760,1283,3810
83,117.288757272576,148.68,1.2125,9.4,0.79328,0.8933,-34.126,2611,420,618,4486,1808,2602
84,116.047718553707,150.65,3.9825,10.3,0.9782,1.0794,-38.422,3616,1888,2075,5685,1352,3608
85,122.69921468235,155.7,0.8975,9.3,0.69948,1.0598,-38.882,2807,451,279,5701,1240,4042
86,120.621707468262,160.27,0.9025,12,0.80132,0.8444,-34.357,2754,172,199,5314,1470,3653
87,118.611550412203,153.52,2.5225,9.4,0.7705,1.0327,-39.755,2878,329,481,4158,1609,2479
88,124.528949364077,157.36,1.1475,9,0.69546,1.0342,-38.744,2882,743,640,4695,1890,2829
89,125.284064846235,147.75,1.37,10,0.83616,0.86,-33.09,2405,258,202,5765,949,3594
90,118.363683699965,154.48,1.8675,9.6,0.86966,1.0784,-37,2342,527,340,4859,1753,2675
91,116.623851145021,161.62,1.8325,10.8,0.7638,1.0807,-39.461,2375,469,537,5306,1641,3649
92,127.598348935731,150.89,2.055,11.4,0.88708,0.9124,-33.469,2484,113,439,6128,1041,4181
93,130.328981253358,155.02,2.075,11,0.84956,0.8903,-34.095,2653,459,301,5523,1324,4067
94,114.91543718703,155.97,2.495,9.9,0.871,1.1382,-39.332,2329,469,143,4774,1488,2894
95,127.062950553034,151.97,1.905,11.2,0.85894,0.9464,-35.752,2886,363,685,4578,1587,2877
96,122.311602529775,154.89,2.7225,10.8,0.83214,1.0429,-38.822,2591,290,434,5597,1314,2818
97,131.482052623333,152.8,2.2425,10,0.9045,1.0019,-34.573,2860,200,416,5287,1388,3551
98,115.918350753857,152.44,7.625,9.5,0.74638,1.3921,-44.45,2923,543,565,5980,1084,4327
99,119.283983042975,151.57,1.0875,13.6,0.79596,1.3074,-37.673,2356,223,293,4870,1730,3278
100,118.582371679145,156.3,7.265,11.6,0.74906,1.3502,-43.72,2850,464,596,5162,1720,3209
1,122.177619530156,150.56,1.63,10.2,1.0385,1.1785,-41.71,3060,997,595,6375,769,4127
